"popularity_score","title","artist","year","decade","original_vocal","categories","Social_singing","artist_review_flag","cleanup_notes"
"939","Picture","Kid Rock & Sheryl Crow","2002","2000s","Mixed","Country rock","Duets","",""
"754","Give Me One Reason","Tracy Chapman","1995","90s","Female","Rock, Alternative Rock, Pop Rock, Pop, Soul","","",""
"745","Before He Cheats","Carrie Underwood","2005","2000s","Female","Country, Contemporary Country, Modern Country, Country Pop, Rock","","",""
"736","Amarillo by Morning","George Strait","1982","80s","Male","Country","","",""
"613","Black Velvet","Alannah Myles","1989","80s","Female","Rock, Pop Rock, Classic Rock, Pop, Singer-Songwriter","","",""
"603","Ol' Red","Blake Shelton","2001","2000s","Male","Country, Contemporary Country, Pop","","",""
"597","Tennessee Whiskey","Chris Stapleton","2012","2010s","Male","Country, Singer-Songwriter, Bluegrass, Southern Rock","","",""
"588","Black Horse and Cherry Tree","KT Tunstall","2004","2000s","Female","Alternative Rock, Indie Rock, Folk, Singer-Songwriter, Folk Rock","","",""
"567","Folsom Prison Blues","Johnny Cash","1955","50s","Male","Country, Folk, Americana, Blues, Gospel, Rockabilly","","",""
"563","Kryptonite","3 Doors Down","2000","2000s","Male","Rock, Alternative Rock, Hard Rock, Pop Rock, Pop","","",""
"555","Friends in Low Places","Garth Brooks","1990","90s","Male","Country, Contemporary Country, Modern Country","","",""
"540","Shallow (A Star Is Born Soundtrack)","Lady Gaga & Bradley Cooper","2018","2010s","Mixed","Pop, Film soundtrack, Country pop","","",""
"538","Just Breathe","Pearl Jam","2009","2000s","Male","Rock, Alternative Rock, Hard Rock, Pop Rock, Classic Rock, Acoustic Rock","","",""
"537","Feeling Good","Michael Buble","2005","2000s","Male","Jazz, Vocal Jazz, Traditional Pop","","",""
"536","Cocaine Country Dancing","Paul Cauthen","2018","2010s","Male","Country, Alt-Country, Rock, Americana, Outlaw Country","","",""
"502","Creep","Radiohead","1992","1990s","Male","Alternative Rock, Grunge","","",""
"486","Valerie","Mark Ronson & Amy Winehouse","2007","2000s","Female","Soul, Pop, Funk","","",""
"476","Santeria","Sublime","1996","90s","Male","Rock, Alternative Rock, Classic Rock, Pop, Punk, Ska Punk","","",""
"474","Dreams","Fleetwood Mac","1977","70s","Female","Rock, Pop Rock, Classic Rock, Pop, Adult Contemporary, Soft Rock","","",""
"469","Turn the Page","Bob Seger","1973","70s","Male","Rock, Classic Rock, Singer-Songwriter, Rock and Roll, Heartland Rock","","",""
"465","Basket Case","Green Day","1994","90s","Male","Rock, Alternative Rock, Pop, Pop Punk, Punk","","",""
"447","In Hell I'll Be in Good Company","The Dead South","2014","2010s","Male","Folk, Bluegrass, Americana","","",""
"444","Crazy","Patsy Cline","1961","60s","Female","Country","","",""
"430","Inside Out","Eve 6","1998","90s","Male","Alternative Rock, Post-Grunge","","",""
"423","These Boots Are Made for Walkin'","Nancy Sinatra","1966","60s","Female","Pop, Country Pop","","",""
"408","Save Me","Jelly Roll","2020","2020s","Male","Country, Country Rap, Rock","","",""
"377","The Sound of Silence","Disturbed","2015","2010s","Male","Alternative Metal, Hard Rock","","",""
"377","Something in the Orange","Zach Bryan","2022","2020s","Male","Country, Pop","","",""
"372","Zombie","The Cranberries","1994","90s","Female","Rock, Alternative Rock, Hard Rock, Pop Rock, Indie Rock","","",""
"371","Bitch","Meredith Brooks","1997","90s","Female","Rock, Alternative Rock, Pop Rock, Pop","","",""
"370","Jolene","Dolly Parton","1973","70s","Female","Country, Country Pop, Pop, Bluegrass","","",""
"367","Strawberry Wine","Deana Carter","1996","90s","Female","Country, Contemporary Country, Modern Country, Country Pop, Country Rock","","",""
"361","Feathered Indians","Tyler Childers","2017","2010s","Male","Country, Alt-Country, Americana","","",""
"358","Piano Man","Billy Joel","1973","70s","Male","Rock, Pop Rock, Classic Rock, Pop, Singer-Songwriter","","",""
"357","Rhiannon","Fleetwood Mac","1975","70s","Female","Rock, Soft Rock","","",""
"355","Mama's Broken Heart","Miranda Lambert","2011","2010s","Female","Country, Contemporary Country, Modern Country, Country Pop, Rock","","",""
"353","Bohemian Rhapsody","Queen","1976","70s","Male","Rock, Hard Rock, Pop Rock, Classic Rock, Baroque Pop","Group Song","",""
"350","When I'm Gone","3 Doors Down","2002","2000s","Male","Rock, Alternative Rock, Post-Grunge","","",""
"349","Girl Crush","Little Big Town","2014","2010s","Female","Country, Country Rock","","",""
"346","Gunpowder & Lead","Miranda Lambert","2007","2000s","Female","Country, Country Rock","","",""
"340","Badfish","Sublime","1994","90s","Male","Rock, Alternative Rock, Punk, Punk Rock, Reggae","","",""
"338","Fly Me to the Moon","Frank Sinatra","1977","70s","Male","Pop, Jazz","","",""
"338","Under the Bridge","Red Hot Chili Peppers","1991","90s","","Rock, Alternative Rock, Hard Rock, Pop Rock, Classic Rock","","",""
"335","Ain't No Rest for the Wicked","Cage the Elephant","2008","2000s","","Rock, Alternative Rock, Indie Rock, Folk Rock, Garage Rock","","",""
"335","Your Song","Elton John","1970","70s","Male","Rock, Pop Rock, Classic Rock, Pop, Singer-Songwriter","","",""
"335","Date Rape","Sublime","1991","90s","","Rock, Alternative Rock, Punk, Punk Rock, Reggae","","",""
"333","Dirty Laundry","Don Henley","1982","80s","Male","Rock, Pop Rock, Classic Rock, Pop, Singer-Songwriter","","",""
"327","Sold (The Grundy County Auction)","John Michael Montgomery","","","","","","",""
"326","Get Rhythm","Johnny Cash","1978","70s","Male","Country, Folk, Americana, Blues, Gospel","","",""
"324","You Oughta Know","Alanis Morissette","1995","90s","Female","Rock, Alternative Rock, Pop, Folk Rock","","",""
"319","Sweet Caroline","Neil Diamond","1969","60s","Male","Rock, Pop Rock, Pop, Singer-Songwriter, Adult Contemporary","","",""
"315","S.o.b.","Nathaniel Rateliff & the Night Sweats","2015","2010s","","Pop","","",""
"308","Fancy","Reba McEntire","1992","90s","Female","Country","","",""
"307","Landslide","Fleetwood Mac","1975","70s","","Rock, Pop Rock, Classic Rock, Pop, Art Pop","","",""
"302","Killing Me Softly (With His Song)","The Fugees","","","","Hip-Hop","","",""
"301","Glycerine","Bush","1994","90s","","Rock, Alternative Rock, Hard Rock, Grunge, Post-Grunge","","",""
"297","Pinch Me","Barenaked Ladies","2000","2000s","","Rock, Alternative Rock","","",""
"296","Hurt","Johnny Cash","2002","2000s","Male","Country, Contemporary Country, Alt-Country, Rock, Alternative Rock","","",""
"295","Clint Eastwood","Gorillaz","2000","2000s","","Rock, Alternative Rock, Pop, Hip-Hop, Electronic","","",""
"294","Can't Help Falling in Love","Elvis Presley","1969","60s","Male","Country, Rock, Pop Rock, Pop, R&B","","",""
"293","Bad Moon Rising","Creedence Clearwater Revival","1969","60s","","Rock, Classic Rock, Pop, Blues Rock, Country Rock","","",""
"292","Cowboy Casanova","Carrie Underwood","2009","2000s","Female","Country, Contemporary Country, Modern Country, Country Pop, Pop","","",""
"291","One Way or Another","Blondie","1991","90s","","Rock, Pop Rock, Pop, Disco, New Wave","","",""
"287","Goodbye Earl","The Chicks","2021","2020s","","Country, Contemporary Country, Country Pop, Pop Rock, Folk","","",""
"279","Beautiful Crazy","Luke Combs","2016","2010s","Male","Country, Country Pop","","",""
"276","Plush","Stone Temple Pilots","1992","90s","","Rock, Alternative Rock, Hard Rock, Indie Rock, Grunge","","",""
"274","My Way","Frank Sinatra","1969","60s","Male","Pop, Jazz","","",""
"267","Jack & Diane","John Cougar Mellencamp","","","Male","Rock, Pop Rock, Pop, Americana, Folk Rock","","",""
"266","Desperado","The Eagles","","","","","","",""
"266","Killing Me Softly","The Fugees","","","","","","",""
"264","What's Up","4 Non Blondes","1992","90s","","Rock, Alternative Rock, Pop Rock, Classic Rock, Pop","","",""
"264","Whose Bed Have Your Boots Been Under","Shania Twain","1995","90s","Female","Country, Contemporary Country, Modern Country, Country Pop, Rock","","",""
"260","Me & Bobby Mcgee","Janis Joplin","1970","70s","Female","Rock, R&B, Soul, Folk, Blues","","",""
"260","Don't Stop Believin'","Journey","1981","80s","","Rock, Hard Rock, Pop Rock, Classic Rock, Progressive Rock","","",""
"258","Fuck Her Gently","Tenacious D","2001","2000s","","Rock, Alternative Rock, Hard Rock","","",""
"257","I Will Survive","Cake","1996","90s","","Rock, Alternative Rock, Punk","","",""
"256","Neon Moon","Brooks & Dunn","1991","90s","","Country, Contemporary Country, Modern Country","","",""
"256","Zoot Suit Riot","Cherry Poppin' Daddies","1997","90s","","Rock, Pop, Jazz","","",""
"256","You Were Meant for Me","Jewel","1994","90s","Female","Rock, Alternative Rock, Pop, Folk, Singer-Songwriter","","",""
"253","Whats Up","4 Non Blondes","","","","Alternative Rock, Pop Rock","","",""
"249","I'm Yours","Jason Mraz","2005","2000s","Male","Pop Rock, Pop, Adult Contemporary","","",""
"249","Walkin' After Midnight","Patsy Cline","1967","60s","Female","Country, Gospel","","",""
"248","Back to Black","Amy Winehouse","2006","2000s","Female","R&B, Contemporary R&B, Soul, Jazz","","",""
"248","Stay","Rihanna","2013","2010s","Female","Pop, Dance-Pop, Electropop, Hip-Hop, R&B","","",""
"248","I Am a Man of Constant Sorrow","The Soggy Bottom Boys","2003","2000s","","","","",""
"247","Highwayman","The Highwaymen","1993","90s","","Country, Country Rock","","",""
"247","Say It Ain't So","Weezer","1992","90s","","Rock, Alternative Rock, Pop Rock, Emo","","",""
"246","Mr. Brightside","The Killers","2003","2000s","","Rock, Alternative Rock, Hard Rock, Pop Rock, Classic Rock","","",""
"243","Your Man (Best)","Josh Turner","","","","","","",""
"242","Chicken Fried","Zac Brown Band","2005","2000s","","Country, Modern Country, Pop","","",""
"241","Black","Pearl Jam","1994","90s","","Rock, Alternative Rock, Grunge","","",""
"239","No Diggity","Blackstreet","1997","90s","","Hip-Hop, R&B, Contemporary R&B","","",""
"239","My Immortal","Evanescence","1998","90s","","Rock, Alternative Rock, Pop","","",""
"239","Jackson","Johnny Cash & June Carter","","","","","Duets","",""
"238","Big Balls","AC/DC","1976","70s","","Rock, Alternative Rock, Hard Rock, Classic Rock, Art Pop","","",""
"238","God's Gonna Cut You Down","Johnny Cash","2006","2000s","Male","Country, Alt-Country, Rock, Folk, Americana","","",""
"235","Hey Jealousy","Gin Blossoms","1989","80s","","Rock, Alternative Rock","","",""
"234","Suds in the Bucket","Sara Evans","2003","2000s","Female","Country, Contemporary Country, Country Pop, Alt-Country, Pop","","",""
"233","Redneck Woman","Gretchen Wilson","2004","2000s","Female","Country, Contemporary Country, Alternative Rock, Country Rock","","",""
"232","Heartbreaker","Pat Benatar","1979","70s","Female","Rock, Hard Rock, Pop Rock, Classic Rock, Pop","","",""
"229","Leader of the Band","Dan Fogelberg","1981","80s","Male","Rock, Pop, Folk, Folk Rock, Soft Rock","","",""
"229","You and I","Lady Gaga","2010","2010s","Female","Pop Rock, Pop, Dance-Pop, Electropop, Americana","","",""
"229","Should've Been a Cowboy","Toby Keith","1993","90s","Male","Country, Contemporary Country, Modern Country","","",""
"227","Ring of Fire","Johnny Cash","1981","80s","Male","Country, Folk, Americana, Blues, Gospel","","",""
"227","You Are My Sunshine","The Dead South","2021","2020s","","Rock, Folk, Americana, Bluegrass, Folk Rock","","",""
"227","I Love This Bar","Toby Keith","2003","2000s","Male","Country, Contemporary Country, Modern Country, Rock","","",""
"224","Pink Pony Club","Chappell Roan","2020","2020s","Female","Pop, Synth-Pop","","",""
"224","Much Too Young(To Feel This Damn Old)","Garth Brooks","1986","80s","Male","Country, Country Pop, Pop","","",""
"219","Baby One More Time","Britney Spears","1998","90s","Female","Rock, Alternative Rock, Pop, Dance-Pop, Teen Pop","","",""
"219","Stray Cat Strut","Stray Cats","1981","80s","","Country, Rock, Pop Rock, Pop, New Wave","","",""
"216","River","Bishop Briggs","2016","2010s","Female","Alternative Rock, Indie Pop","","",""
"215","The Devil Went Down to Georgia","The Charlie Daniels Band","1980","80s","Male","Country, Rock, Bluegrass, Blues Rock, Country Rock","","",""
"213","Family Tradition","Hank Williams Jr.","1979","70s","Male","Country, Rock, Country Rock","","",""
"213","Grandpa","The Judds","1992","90s","","Country","","",""
"209","Breaking the Law","Judas Preist","","","","","","",""
"208","A Country Boy Can Survive","Hank Williams Jr.","1981","80s","Male","Country, Rock, Country Rock","","",""
"208","If I Had ,000,000","Barenaked Ladies","","","","","","","swapped title/artist"
"207","Margaritaville","Jimmy Buffett","1977","70s","Male","Country, Country Pop, Alt-Country, Rock, Classic Rock","","",""
"207","Hell on Heels","Pistol Annies","2011","2010s","","Country","","",""
"206","Rack Em Up","Jonny Lang","1996","90s","Male","Blues","","",""
"206","Simple Man","Shinedown","2004","2000s","","Rock, Alternative Rock, Hard Rock, Metal, Post-Grunge","","",""
"204","The House of the Rising Sun","The Animals","1964","60s","","Rock, Pop Rock, Classic Rock, Pop, R&B","","",""
"201","Good Directions","Billy Currington","2005","2000s","Male","Country, Contemporary Country, Modern Country, Country Pop, Bluegrass","","",""
"201","Dance Monkey","Tones & I","2019","2010s","Female","Pop","","",""
"199","Any Man of Mine","Shania Twain","1995","90s","Female","Country, Contemporary Country, Modern Country, Country Pop, Pop","","",""
"197","Buy Dirt","Jordan Davis","2021","2020s","Male","Country, Country Pop","","",""
"196","In Color","Jamey Johnson","2008","2000s","Male","Country","","",""
"196","Tequila Does","Miranda Lambert","2019","2010s","Female","Country, Contemporary Country, Country Pop, Singer-Songwriter","","",""
"195","Burning House","Cam","2015","2010s","Female","Country, Contemporary Country, Modern Country, Alt-Country","","",""
"195","Talk Dirty to Me","Poison","1986","80s","","Rock, Hard Rock, Pop Rock, Classic Rock, Glam Metal","","",""
"195","Better Dig Two","The Band Perry","2012","2010s","","Country, Contemporary Country","","",""
"193","Whiskey Lullaby","Brad Paisley & Alison Krauss","","","","","","",""
"193","Your Cheatin' Heart","Hank Williams","1953","50s","Male","Country, Americana","","",""
"193","My Own Worst Enemy","Lit","1999","90s","","Rock, Alternative Rock, Pop Punk, Post-Grunge, Punk","","",""
"193","Ace of Spades","Motorhead","1985","80s","","Rock, Hard Rock, Heavy Metal, Metal","","",""
"192","Sex & Candy","Marcy Playground","1995","90s","","Rock, Alternative Rock, Pop Rock, Pop, Hip-Hop","","",""
"190","You Can Have the Crown","Sturgill Simpson","2013","2010s","Male","Country, Americana, Bluegrass","","",""
"189","Under the Influence","Chris Brown","2019","2010s","Male","Pop","","",""
"189","Blue Ain't Your Color","Keith Urban","2016","2010s","Male","Contemporary Country","","",""
"189","Drinkin Problem","Midland","2016","2010s","","Country","","",""
"187","100 Years","Five for Fighting","","","","","","","swapped title/artist"
"187","Cocaine Blues","Johnny Cash","1968","60s","Male","Country, Rock, Americana, Country Rock","","",""
"186","What a Wonderful World","Louis Armstrong","1991","90s","Male","Pop, Gospel, Jazz","","",""
"185","You Know I'm No Good","Amy Winehouse","2006","2000s","Female","Pop, Hip-Hop, R&B, Contemporary R&B, Soul","","",""
"185","Baby Got Back","Sir Mix-A-Lot","1992","90s","Male","Rock, Pop Rock, Pop, Hip-Hop, Pop Rap","","",""
"185","The Hardest Button to Button","The White Stripes","2003","2000s","","Rock, Alternative Rock, Indie Rock, Blues, Blues Rock","","",""
"183","Rolling in the Deep","Adele","2010","2010s","Female","Rock, Pop Rock, Pop, Hip-Hop, R&B","","",""
"183","Break on Through","The Doors","1990","90s","","Psychedelic Rock","","",""
"182","Blue","LeAnn Rimes","1993","90s","Female","Country, Contemporary Country, Country Pop, Rock, Pop Rock","","",""
"182","Mama Tried","Merle Haggard","1974","70s","Male","Country, Singer-Songwriter","","",""
"181","Love Shack","The B-52's","1993","90s","","Pop Rock, Pop, Dance-Pop, New Wave, Punk","Group Song","",""
"181","Free Fallin' Heartbreakers","Tom Petty & the","","","","","","",""
"176","Breathe (2 Am)","Anna Nalick","2004","2000s","Female","Pop, Adult Contemporary","","",""
"176","Vienna","Billy Joel","1977","70s","Male","Rock, Classic Rock, Pop, Singer-Songwriter, Soft Rock","","",""
"174","Total Eclipse of the Heart","Bonnie Tyler","1983","80s","Female","Country Pop, Rock, Pop Rock, Pop, Country Rock","","",""
"174","That's Life","Frank Sinatra","1966","60s","Male","Pop, Jazz","","",""
"173","Slow Hands","Niall Horan","2017","2010s","Male","Pop","","",""
"173","Lose Control","Teddy Swims","2023","2020s","Male","Pop","","",""
"172","Must Be the Whiskey","Cody Jinks","2018","2010s","Male","","","",""
"171","Born to Die","Lana Del Rey","2011","2010s","Female","Pop, Dream Pop","","",""
"170","Like a Stone","Audioslave","2002","2000s","","Rock, Alternative Rock, Hard Rock, Alternative Metal, Heavy Metal","","",""
"170","I Hope You're Happy Now","Carly Pearce","2019","2010s","Mixed","Country, Contemporary Country","","",""
"168","Rebel Yell","Billy Idol","1983","80s","Male","Rock, Hard Rock, Pop Rock, Classic Rock, Electronic","","",""
"168","Why Don't We Just Dance","Josh Turner","2009","2000s","Male","Country, Contemporary Country","","",""
"165","Make the World Go Away","Eddy Arnold","1965","60s","Male","Country, Folk","","",""
"165","The Thunder Rolls","Garth Brooks","1990","90s","Male","Country, Contemporary Country, Modern Country, Country Rock","","",""
"165","Stick Season","Noah Kahan","2022","2020s","Male","Rock, Pop, Folk, Indie Folk, Folk Pop","","",""
"165","Losing My Religion","R.E.M.","1991","90s","","Rock, Alternative Rock, Pop","","",""
"164","Hand in My Pocket","Alanis Morissette","1995","90s","Female","Rock, Alternative Rock, Pop Rock, Pop, Folk Rock","","",""
"164","Rooster","Alice in Chains","1992","90s","","Rock, Alternative Rock, Hard Rock, Alternative Metal, Grunge","","",""
"163","Hotel California","The Eagles","1991","90s","","Rock, Pop Rock, Classic Rock, Pop, Country Rock","","",""
"161","Would You Go with Me","Josh Turner","2006","2000s","Male","Country, Contemporary Country, Modern Country, Electronic","","",""
"160","Mama He's Crazy","The Judds","1984","80s","","Country, Contemporary Country","","",""
"159","A Bar Song (Tipsy)","Shaboozey","2024","2020s","Male","Country, Pop","","",""
"158","Hero","Enrique Iglesias","2001","2000s","Male","Pop, Dance-Pop, Adult Contemporary, Latin, Latin Pop","","",""
"157","Tight Fittin' Jeans","Conway Twitty","1981","80s","Male","Country, Singer-Songwriter","","",""
"157","At Last","Etta James","1982","80s","Female","R&B, Soul, Blues, Jazz","","",""
"157","Live Like You Were Dying","Tim McGraw","2004","2000s","Male","Country, Contemporary Country, Modern Country","","",""
"154","Welcome to My World","Jim Reeves","1963","60s","Male","Country, Country Pop","","",""
"154","Flowers","Miley Cyrus","2023","2020s","","Pop Rock, Pop, Dance-Pop","","",""
"154","I Touch Myself","The Divinyls","","","","","","",""
"154","Honky Tonk Badonkadonk","Trace Adkins","2005","2000s","Male","Country, Modern Country","","",""
"153","The Chair","George Strait","1985","80s","Male","Country, Contemporary Country","","",""
"153","Silver Wings","Merle Haggard","1971","70s","Male","Country, Singer-Songwriter","","",""
"152","Mr. Crowley","Ozzy Osbourne","1982","80s","Male","Hard Rock, Pop Rock, Glam Metal, Heavy Metal, Metal","","",""
"152","Six Days on the Road","Sawyer Brown","1997","90s","","Country, Contemporary Country, Country Rock","","",""
"151","Wagon Wheel","Darius Rucker","2013","2010s","Male","Country, Contemporary Country, Rock, Pop Rock, Blues","","",""
"151","I Hate Myself for Loving You","Joan Jett & the Blackhearts","1988","80s","","Rock, Pop Rock, Rock and Roll","","",""
"150","Summer Nights Travolta","Olivia Newton-John & John","","","","","","",""
"149","You Never Even Called Me by My Name","David Allan Coe","","","","","","","recombined split title/artist"
"149","Hit Me with Your Best Shot","Pat Benatar","1980","80s","Female","Rock, Pop Rock, Classic Rock, Pop","","",""
"147","I Feel a Sin Comin on","Pistol Annies","","","","","","",""
"146","Take Me Home Country Roads","John Denver","1971","70s","Male","Country, Country Pop, Rock, Pop, Folk","","",""
"145","Loud and Heavy","Cody Jinks","2015","2010s","Male","","","",""
"145","Take These Chains from My Heart","Hank Williams","1970","70s","Male","Country, Folk, Blues, Gospel","","",""
"144","Pour Some Sugar on Me","Def Leppard","1988","80s","","Rock, Alternative Rock, Hard Rock, Pop Rock, Classic Rock","","",""
"144","Stay","Sugarland","2006","2000s","","Country, Contemporary Country, Modern Country, Rock, Folk","","",""
"143","Wanted Dead or Alive","Bon Jovi","1988","80s","","Rock, Hard Rock, Pop Rock, Classic Rock, Glam Metal","","",""
"143","Flagpole Sitta","Harvey Danger","1996","90s","","Rock, Alternative Rock, Indie Rock, Blues, Punk","","",""
"143","Man! I Feel Like a Woman!","Shania Twain","1997","90s","Female","Country, Contemporary Country, Country Pop, Rock, Pop Rock","","",""
"142","Down Came a Blackbird","Lila Mccann","1997","90s","Female","Country, Contemporary Country","","",""
"142","Cult of Personality","Living Colour","1988","80s","","Rock, Alternative Rock, Hard Rock, Alternative Metal, Funk Rock","","",""
"141","Toxic","Britney Spears","2003","2000s","Female","Pop, Dance-Pop, Teen Pop, Electropop, Hip-Hop","","",""
"141","You Look Like You Love Me","Ella Langley","2024","2020s","Mixed","Country","","",""
"141","Wings of a Dove","Ferlin Husky","1982","80s","Male","Country","","",""
"141","Sin Wagon","The Chicks","","","","","","",""
"140","Ain't No Sunshine","Bill Withers","1971","70s","Male","Pop, R&B, Soul, Singer-Songwriter, Blues","","",""
"140","Low","Cracker","1993","90s","","Rock, Alternative Rock, Indie Rock, Punk","","",""
"140","I Can Still Make Cheyenne","George Strait","1996","90s","Male","Country, Contemporary Country","","",""
"140","In Spite of Ourselves","John Prine","1999","90s","Male","Country, Folk, Singer-Songwriter","","",""
"140","Teenage Dirtbag","Wheatus","2000","2000s","","Rock, Alternative Rock, Indie Rock, Pop","","",""
"139","What Was I Thinkin'","Dierks Bentley","2003","2000s","Male","Country, Contemporary Country, Modern Country","","",""
"139","Fever","Peggy Lee","1973","70s","Female","Pop, Blues, Jazz","","",""
"139","Landslide","The Chicks","2003","2000s","","Country, Contemporary Country, Country Pop, Pop Rock, Folk","","",""
"138","Let Her Go","Passenger","2012","2010s","Male","Pop, Indie Pop, Folk, Indie Folk, Singer-Songwriter","","",""
"138","Tomorrow","Silverchair","1994","90s","","Rock, Alternative Rock, Hard Rock, Alternative Metal, Baroque Pop","","",""
"137","Make You Feel My Love","Adele","2008","2000s","Female","Pop, Soul, Adult Contemporary, Blues, Jazz","","",""
"137","Fancy Like","Walker Hayes","2021","2020s","Male","Country","","",""
"136","Desperado","Clint Black","1993","90s","Male","Country, Contemporary Country, Classic Rock, Country Rock, Southern Rock","","",""
"136","He'll Have to Go","Jim Reeves","1967","60s","Male","Country, Country Pop","","",""
"136","I Love Rock 'N Roll","Joan Jett & the Blackhearts","1981","80s","","Rock, Hard Rock, Pop Rock, Classic Rock, Pop","","",""
"135","Rodeo","Garth Brooks","1991","90s","Male","Country, Contemporary Country","","",""
"135","Lips of an Angel","Hinder","1995","90s","","Alternative Rock, Hard Rock, Alternative Metal","","",""
"135","White Rabbit","Jefferson Airplane","1972","70s","","Rock, Pop Rock, Folk Rock, Garage Rock, Psychedelic Rock","","",""
"135","Games","Lana Del Rey","","","","","","",""
"135","Do I","Luke Bryan","2009","2000s","Male","Country, Contemporary Country, Modern Country","","",""
"135","Simple Man","Lynyrd Skynyrd","1973","70s","","Rock, Hard Rock, Classic Rock, Blues Rock, Southern Rock","","",""
"135","As Good as I Once Was","Toby Keith","2005","2000s","Male","Country, Contemporary Country, Modern Country, Rock","","",""
"134","Ironic","Alanis Morissette","1996","90s","Female","Rock, Alternative Rock, Pop Rock, Pop, Dance-Pop","","",""
"133","I Want It That Way","Backstreet Boys","1999","90s","","Pop, Dance-Pop, Teen Pop, Electropop, Contemporary R&B","Group Song","",""
"133","Cupid's Chokehold","Gym Class Heroes","2007","2000s","","Dance-Pop, Hip-Hop, Pop Rap","","",""
"133","455 Rocket","Kathy Mattea","1997","90s","Female","Country, Contemporary Country, Country Pop, Americana, Country Rock","","",""
"133","Mary Jane's Last Dance Heartbreakers","Tom Petty & the","","","","","","",""
"132","White Wedding","Billy Idol","1983","80s","Male","Rock, Pop Rock, Classic Rock, Pop, Funk","","",""
"132","The Bad Touch","Bloodhound Gang","1999","90s","","Rock, Alternative Rock, Pop, Dance-Pop, Heavy Metal","","",""
"132","In Case You Didn T Know","Brett Young","","","","","","",""
"132","Paint It Black","The Rolling Stones","1977","70s","","Rock, Pop Rock, Classic Rock, Blues, Blues Rock","","",""
"130","Lose Yourself","Eminem","2002","2000s","Male","Pop, Hip-Hop, Pop Rap","","",""
"130","What I Got","Sublime","1996","90s","","Rock, Alternative Rock, Pop, Punk, Reggae","","",""
"128","I'm the Only One","Melissa Etheridge","1993","90s","Female","Rock, Pop Rock, Classic Rock, Pop, Singer-Songwriter","","",""
"128","Interstate Love Song","Stone Temple Pilots","1994","90s","","Rock, Alternative Rock, Hard Rock, Pop, Grunge","","",""
"127","Longview","Green Day","1994","90s","","Rock, Alternative Rock, Pop Punk, Punk, Punk Rock","","",""
"127","Here for the Party","Gretchen Wilson","2004","2000s","Female","Country, Contemporary Country, Alternative Rock, Country Rock","","",""
"127","Heaven","Kane Brown","2017","2010s","Male","Country, Country Pop","","",""
"127","Brandy (You're a Fine Girl)","Looking Glass","1972","70s","","Rock, Pop Rock, Classic Rock, Pop","","",""
"127","Roses Are Falling","Orville Peck","2019","2010s","Male","Country, Alt-Country, Alternative Rock, Indie Rock","","",""
"126","Hippies & Cowboys","Cody Jinks","2010","2010s","Male","","","",""
"126","Kickapoo","Tenacious D","2004","2000s","","Rock, Alternative Rock, Hard Rock","","",""
"126","Come Together","The Beatles","1969","60s","","Rock, Hard Rock, Pop Rock, Classic Rock, Pop","","",""
"125","Hands on You","Ashley Monroe","2018","2010s","Female","Country, Contemporary Country, Americana","","",""
"125","Oh Darling","The Beatles","1969","60s","","Rock, Alternative Rock, Hard Rock, Pop Rock, Classic Rock","","",""
"124","The Ballad of Chasey Lain","Bloodhound Gang","1999","90s","","Rock, Alternative Rock, Heavy Metal, Metal, Post-Grunge","","",""
"124","The Devil Wears a Suit and Tie","Colter Wall","2015","2010s","Male","Country","","",""
"124","Hurts So Good","John Cougar Mellencamp","","","Male","Rock, Pop Rock, Pop, Americana, Folk Rock","","",""
"124","My Church","Maren Morris","2015","2010s","Female","Country, Country Pop, Hip-Hop","","",""
"123","ILL Make a Man Out of You","Mulan","","","","","","",""
"123","Who Knew","Pink","","","","","","",""
"122","All of Me","John Legend","2013","2010s","Male","Pop, Hip-Hop, R&B, Contemporary R&B, Soul","","",""
"122","God Bless the USA","Lee Greenwood","1991","90s","Male","Country, Singer-Songwriter","","",""
"122","Walking in Memphis","Marc Cohn","1991","90s","Male","Alt-Country, Rock, Classic Rock, Pop, Singer-Songwriter","","",""
"122","Cowboy Take Me Away","The Chicks","","","","Country, Contemporary Country, Country Pop, Pop Rock, Folk","","",""
"121","East Bound & Down","Jerry Reed","1977","70s","Male","Country, Country Pop, Country Rock","","",""
"121","Don't Take the Girl","Tim McGraw","1994","90s","Male","Country, Contemporary Country, Country Pop, Adult Contemporary","","",""
"121","I Swear (To God)","Tyler Childers","2017","2010s","Male","Country, Alt-Country, Americana","","",""
"120","I Can't Make You Love Me","Bonnie Raitt","1977","70s","Female","Rock, Pop Rock, Folk, Singer-Songwriter, Adult Contemporary","","",""
"120","Fuck You","Cee Lo Green","","","","","","",""
"120","How to Save a Life","The Fray","2005","2000s","","Rock, Alternative Rock, Pop, R&B, Electronic","","",""
"119","Daddy Lessons","Beyonce","2016","2010s","Female","Pop, R&B, Soul, Blues","","",""
"119","Some of It","Eric Church","2018","2010s","Male","Country","","",""
"119","Brokenheartsville","Joe Nichols","2002","2000s","Male","Country, Modern Country, Pop","","",""
"119","Faithfully","Journey","1983","80s","","Rock, Hard Rock, Pop Rock, Classic Rock, Progressive Rock","","",""
"119","Don't Speak","No Doubt","1995","90s","","Rock, Alternative Rock, Pop Rock, Pop, Hip-Hop","","",""
